time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1609043662.18370342,0.01100199,0.00266835,0.00000688,3179.00000000,0.01545248,0.000000,0.000000
1609043662.28590226,0.01098114,0.00135009,0.00000337,3187.00000000,0.00747761,0.000000,0.000000
1609043662.35690570,0.01095910,0.00124559,0.00000328,3179.00000000,0.00723513,0.000000,0.000000
1609043662.45774364,0.01094956,0.00154771,0.00000376,3194.00000000,0.00932690,0.000000,0.000000
1609043662.56140828,0.01093345,0.00143127,0.00000370,3200.00000000,0.00817828,0.000000,0.000000
1609043662.66522789,0.01093401,0.00215832,0.00000493,3217.00000000,0.01103169,0.000000,0.000000
1609043662.76775813,0.01091552,0.00148513,0.00000339,3202.00000000,0.00771660,0.000000,0.000000
1609043662.87040854,0.01097262,0.00386360,0.00000946,3213.00000000,0.02090744,0.000000,0.000000
1609043662.97389460,0.01094768,0.00114789,0.00000301,3219.00000000,0.00658251,0.000000,0.000000
1609043663.07651639,0.01094194,0.00178134,0.00000451,3233.00000000,0.00993213,0.000000,0.000000
1609043663.17962599,0.01097753,0.00324108,0.00000803,3230.00000000,0.01727669,0.000000,0.000000
1609043663.28362417,0.01096840,0.00179092,0.00000394,3206.00000000,0.00934427,0.000000,0.000000
1609043663.38645482,0.01095684,0.00154946,0.00000402,3156.00000000,0.00888687,0.000000,0.000000
1609043663.45680690,0.01093109,0.00109488,0.00000290,3159.00000000,0.00629686,0.000000,0.000000
1609043663.55928063,0.01093113,0.00194783,0.00000503,3166.00000000,0.01093767,0.000000,0.000000
1609043663.66136956,0.01091755,0.00166639,0.00000375,3178.00000000,0.00844552,0.000000,0.000000
1609043663.76431203,0.01092687,0.00159178,0.00000427,3186.00000000,0.01263242,0.000000,0.000000
1609043663.86773467,0.01093066,0.00243646,0.00000563,3189.00000000,0.01162820,0.000000,0.000000
1609043663.97097898,0.01092349,0.00182111,0.00000436,3193.00000000,0.00959855,0.000000,0.000000
1609043664.07472348,0.01090627,0.00137513,0.00000337,3203.00000000,0.00770289,0.000000,0.000000
1609043664.17699480,0.01096273,0.00391146,0.00000977,3209.00000000,0.02151981,0.000000,0.000000
1609043664.27977109,0.01093670,0.00107416,0.00000273,3209.00000000,0.00604374,0.000000,0.000000
1609043664.38348269,0.01094754,0.00202036,0.00000564,3187.00000000,0.01299626,0.000000,0.000000
1609043664.48638248,0.01093318,0.00147086,0.00000368,3196.00000000,0.00820437,0.000000,0.000000
1609043664.55656433,0.01091594,0.00134860,0.00000353,3180.00000000,0.00762241,0.000000,0.000000
1609043664.65828323,0.01092041,0.00207756,0.00000540,3183.00000000,0.01177893,0.000000,0.000000
1609043664.76170707,0.01090831,0.00201226,0.00000363,3188.00000000,0.00857460,0.000000,0.000000
1609043664.86466861,0.01090364,0.00186134,0.00000447,3136.00000000,0.00999660,0.000000,0.000000
1609043664.96772146,0.01089612,0.00166667,0.00000424,3133.00000000,0.00943006,0.000000,0.000000
1609043665.07269025,0.01087390,0.00122328,0.00000291,3143.00000000,0.00651923,0.000000,0.000000
1609043665.17379546,0.01087724,0.00223842,0.00000523,3155.00000000,0.01153511,0.000000,0.000000
1609043665.27708602,0.01086537,0.00150912,0.00000387,3165.00000000,0.00851500,0.000000,0.000000
1609043665.38030887,0.01085531,0.00175554,0.00000425,3168.00000000,0.00885224,0.000000,0.000000
1609043665.48316121,0.01084809,0.00167561,0.00000424,3149.00000000,0.00940524,0.000000,0.000000
1609043665.55888462,0.01083973,0.00175859,0.00000412,3144.00000000,0.00915838,0.000000,0.000000
1609043665.66192746,0.01083825,0.00184698,0.00000477,3155.00000000,0.01053880,0.000000,0.000000
1609043665.76512098,0.01081794,0.00115467,0.00000309,3152.00000000,0.00669597,0.000000,0.000000
1609043665.86780167,0.01087421,0.00412702,0.00001006,3156.00000000,0.02235255,0.000000,0.000000
1609043665.97070909,0.01084913,0.00108768,0.00000252,3148.00000000,0.00570892,0.000000,0.000000
1609043666.07469821,0.01088015,0.00291105,0.00000736,3138.00000000,0.01727058,0.000000,0.000000
